date,fips,PRECTOT,PS,T2M,WS50M_RANGE,slope3,SQ1,class
20040302,1001,2.23,100.78,17.67,3.52,0.39,2,0
20040309,1001,0.02,100.2,9.74,5.84,0.39,2,0
20040316,1001,2.72,99.88,15.11,2.16,0.39,2,0
20040323,1001,0.0,101.45,8.43,4.95,0.39,2,1
20040330,1001,2.1,100.29,14.6,4.39,0.39,2,1
20040406,1001,0.0,100.19,16.2,4.23,0.39,2,1
20040413,1001,1.43,99.63,7.83,3.49,0.39,2,1
20040420,1001,0.0,100.37,18.93,4.49,0.39,2,1
20040427,1001,0.0,100.4,15.97,4.86,0.39,2,1
20040504,1001,0.0,100.63,14.41,5.8,0.39,2,0
20040511,1001,0.01,100.48,23.9,5.26,0.39,2,1
20040518,1001,12.05,100.78,23.47,2.4,0.39,2,1
20040525,1001,0.01,100.08,26.31,3.4,0.39,2,1
20040601,1001,4.16,99.89,18.86,3.44,0.39,2,1
20040608,1001,0.8,100.53,26.18,2.74,0.39,2,1
20040615,1001,9.28,100.04,25.28,1.77,0.39,2,0
20040622,1001,8.3,99.99,25.19,1.43,0.39,2,0
20040629,1001,2.49,100.53,24.44,2.79,0.39,2,0
20040706,1001,3.47,100.32,26.72,2.32,0.39,2,0
20040713,1001,4.61,100.0,27.49,3.03,0.39,2,0
20040720,1001,0.0,99.97,26.19,3.54,0.39,2,0
20040727,1001,1.47,99.95,26.91,3.31,0.39,2,0
20040803,1001,0.02,99.59,28.95,2.92,0.39,2,0
20040810,1001,28.01,100.1,22.98,2.57,0.39,2,1
20040817,1001,0.0,100.36,23.47,2.14,0.39,2,0
20040824,1001,0.35,100.24,26.59,2.14,0.39,2,0
20040831,1001,0.55,100.29,25.72,2.4,0.39,2,0
20040907,1001,13.42,98.57,23.75,4.94,0.39,2,0
20040914,1001,0.01,100.19,24.79,2.08,0.39,2,0
20040921,1001,0.01,100.7,19.19,2.92,0.39,2,0
20040928,1001,0.0,99.78,21.82,2.4,0.39,2,0
20041005,1001,0.01,100.69,19.94,3.88,0.39,2,0
20041012,1001,0.69,99.41,22.38,2.48,0.39,2,0
20041019,1001,16.1,99.81,21.98,2.37,0.39,2,0
20041026,1001,0.01,100.38,21.71,3.94,0.39,2,0
20041102,1001,16.59,100.11,23.02,4.38,0.39,2,0
20041109,1001,0.0,101.14,12.43,3.08,0.39,2,0
20041116,1001,0.01,101.49,10.48,3.62,0.39,2,0
20041123,1001,18.4,99.72,18.76,2.85,0.39,2,0
20041130,1001,11.36,100.21,13.62,2.75,0.39,2,0
20041207,1001,11.27,99.91,17.19,4.16,0.39,2,0
20041214,1001,0.0,101.64,0.01,2.45,0.39,2,0
20041221,1001,0.04,100.63,5.94,3.69,0.39,2,0
20041228,1001,0.0,101.73,3.15,4.14,0.39,2,0
20050104,1001,0.0,100.98,14.92,3.98,0.39,2,0
20050111,1001,0.02,100.51,15.17,3.76,0.39,2,0
20050118,1001,0.0,102.06,0.14,3.25,0.39,2,0
20050125,1001,0.0,100.2,5.8,5.92,0.39,2,0
20050201,1001,13.06,100.82,6.82,2.71,0.39,2,0
20050208,1001,18.56,100.31,14.75,5.3,0.39,2,0
20050215,1001,0.83,100.35,13.71,3.3,0.39,2,0
20050222,1001,2.23,100.37,17.73,4.08,0.39,2,0
20050301,1001,0.01,100.17,4.05,4.35,0.39,2,0
20050308,1001,2.65,99.72,7.67,4.98,0.39,2,0
