date,fips,PRECTOT,PS,T2M,WS50M_RANGE,slope3,SQ1,class
20000822.0,1117.0,0.0,100.28,27.19,3.48,0.3501,1.0,1
20160119.0,1031.0,0.21,101.95,1.58,2.62,0.4781,1.0,0
20050809.0,1007.0,5.3,99.97,26.09,3.31,0.5104,1.0,0
20070612.0,1067.0,5.47,100.02,28.18,4.24,0.2645,3.0,1
20001114.0,1013.0,0.54,100.91,7.24,2.07,0.5155,3.0,1
20160202.0,1117.0,11.4,99.28,18.28,5.35,0.3501,1.0,0
20140121.0,1083.0,0.02,98.64,-1.18,6.01,0.2003,1.0,0
20120508.0,1033.0,1.77,98.85,21.42,4.26,0.5934,1.0,1
20120131.0,1131.0,0.08,101.63,11.22,4.3,0.4208,1.0,1
20110802.0,1015.0,0.0,98.16,30.54,1.89,0.2014,1.0,1
20020723.0,1021.0,1.78,100.33,27.82,2.34,0.0566,2.0,1
20000801.0,1071.0,3.65,97.89,23.74,1.55,0.4644,1.0,1
20120717.0,1071.0,10.33,97.66,27.36,2.51,0.4644,1.0,1
20060418.0,1003.0,0.0,100.6,25.68,5.06,0.1005,2.0,1
20100727.0,1063.0,14.67,100.94,28.13,3.26,0.6201,1.0,0
20040316.0,1007.0,2.69,99.83,14.17,2.62,0.5104,1.0,0
20020709.0,1125.0,0.23,100.72,29.41,3.09,0.1605,1.0,1
20040803.0,1073.0,0.0,98.85,27.84,3.8,0.3945,1.0,0
20160202.0,1071.0,7.7,97.4,15.82,8.95,0.4644,1.0,0
20050607.0,1071.0,2.71,97.53,23.21,3.53,0.4644,1.0,0
20150505.0,1091.0,0.0,101.47,20.68,3.82,0.248,1.0,0
20101130.0,1043.0,35.31,98.68,10.38,7.32,0.3756,3.0,1
20100727.0,1081.0,2.29,99.54,28.67,3.02,0.2937,1.0,1
20050329.0,1061.0,0.0,100.38,14.69,4.94,0.0708,2.0,0
20151013.0,1009.0,1.31,98.73,19.75,4.11,0.4062,1.0,1
20070703.0,1061.0,15.12,100.81,25.88,3.05,0.0708,2.0,1
20000222.0,1127.0,0.11,100.72,10.2,4.32,0.2979,1.0,1
20150707.0,1037.0,0.15,100.21,26.79,1.69,0.0444,2.0,0
20070619.0,1073.0,11.12,99.32,24.49,3.05,0.3945,1.0,1
20120207.0,1049.0,0.0,98.83,6.59,3.92,0.3013,1.0,0
20130312.0,1109.0,0.02,100.36,8.47,1.82,0.5444,3.0,1
20050104.0,1023.0,0.0,101.69,15.53,3.39,0.1418,2.0,0
20080226.0,1061.0,9.44,100.0,14.24,2.31,0.0708,2.0,0
20130326.0,1043.0,0.0,99.73,1.45,1.46,0.3756,3.0,0
20140408.0,1103.0,0.8,98.35,11.13,4.1,0.5713,3.0,0
20100119.0,1015.0,0.04,98.49,7.43,4.99,0.2014,1.0,0
20121009.0,1061.0,0.0,100.82,17.94,4.04,0.0708,2.0,0
20030401.0,1017.0,0.0,100.33,11.88,4.48,0.2093,1.0,0
20020813.0,1071.0,0.2,97.93,27.84,2.79,0.4644,1.0,1
20130917.0,1059.0,0.0,99.71,24.26,3.19,0.1832,1.0,0
20090303.0,1103.0,0.0,100.11,-0.5,3.44,0.5713,3.0,1
20060523.0,1063.0,0.25,100.83,26.06,3.0,0.6201,1.0,0
20000118.0,1043.0,0.78,99.17,10.35,2.92,0.3756,3.0,1
20070417.0,1081.0,0.0,99.0,15.04,3.56,0.2937,1.0,1
20111129.0,1011.0,0.38,99.88,4.17,2.78,0.5407,1.0,1
20110823.0,1025.0,0.64,100.5,31.21,1.46,0.0191,2.0,1
20030930.0,1059.0,0.03,100.26,13.92,3.56,0.1832,1.0,0
20091013.0,1035.0,4.92,100.91,23.27,2.69,0.0485,2.0,0
20110301.0,1119.0,0.0,101.43,10.91,3.1,0.5154,1.0,1
20010703.0,1133.0,6.46,99.6,25.05,2.23,0.1868,2.0,0
20040727.0,1131.0,1.64,100.5,27.61,2.31,0.4208,1.0,0
20020305.0,1021.0,0.0,101.58,4.5,4.3,0.0566,2.0,1
20090707.0,1019.0,0.29,97.69,24.81,2.35,0.0675,2.0,1
20040413.0,1127.0,1.7,99.02,5.68,4.49,0.2979,1.0,0
20091208.0,1093.0,58.54,98.74,11.83,8.78,0.1357,1.0,0
20030401.0,1007.0,0.0,100.9,13.07,2.64,0.5104,1.0,0
20111213.0,1053.0,0.02,101.96,11.6,3.3,0.2449,1.0,1
20040525.0,1013.0,0.0,100.52,26.77,4.56,0.5155,3.0,1
20131105.0,1091.0,0.0,101.68,15.41,2.44,0.248,1.0,0
20150922.0,1107.0,0.08,100.73,22.61,3.64,0.2742,2.0,1
20031209.0,1085.0,7.37,100.52,11.12,2.95,0.5192,3.0,0
20050621.0,1073.0,2.18,99.65,24.53,4.0,0.3945,1.0,0
20091027.0,1107.0,8.31,100.02,14.87,2.83,0.2742,2.0,0
20120717.0,1043.0,10.03,98.87,28.41,3.17,0.3756,3.0,1
20090602.0,1075.0,0.99,100.27,24.7,3.37,0.4507,1.0,0
20051018.0,1119.0,0.0,100.66,21.28,5.27,0.5154,1.0,0
20151215.0,1081.0,0.1,98.99,13.27,4.25,0.2937,1.0,1
20070410.0,1065.0,2.79,100.4,11.19,3.45,0.4968,3.0,1
20070724.0,1029.0,0.33,98.53,25.3,3.61,0.3602,3.0,1
20010206.0,1027.0,0.0,99.13,6.79,4.36,0.424,3.0,1
20050308.0,1015.0,3.02,97.92,4.92,5.19,0.2014,1.0,0
20150428.0,1065.0,4.84,100.2,14.99,2.73,0.4968,3.0,0
20050705.0,1017.0,2.57,99.57,25.67,3.86,0.2093,1.0,0
20001003.0,1125.0,0.16,100.46,23.26,4.83,0.1605,1.0,1
20060307.0,1113.0,0.01,100.55,10.14,4.67,0.2785,1.0,0
20040615.0,1111.0,10.43,98.67,24.82,2.1,0.1377,1.0,1
20000530.0,1053.0,0.0,100.67,25.68,2.43,0.2449,1.0,1
20040629.0,1007.0,4.45,100.47,23.57,2.57,0.5104,1.0,0
20081021.0,1059.0,0.0,100.03,16.46,4.29,0.1832,1.0,1
20070731.0,1057.0,0.8,99.5,28.51,3.23,0.0596,2.0,1
20141118.0,1083.0,0.0,99.77,-4.42,3.26,0.2003,1.0,0
20160920.0,1133.0,0.0,99.25,25.06,3.29,0.1868,2.0,1
20160531.0,1061.0,1.35,100.31,26.52,4.94,0.0708,2.0,0
20000314.0,1129.0,1.2,101.59,13.45,4.02,0.0564,2.0,1
20040323.0,1057.0,0.0,101.17,8.07,4.91,0.0596,2.0,0
20080603.0,1129.0,0.02,100.72,28.49,2.97,0.0564,2.0,1
20120228.0,1017.0,4.21,100.2,15.74,2.6,0.2093,1.0,1
20060912.0,1043.0,22.38,98.97,22.12,3.48,0.3756,3.0,1
20050517.0,1043.0,0.01,98.83,18.59,3.9,0.3756,3.0,0
20040706.0,1003.0,2.35,101.39,27.74,2.51,0.1005,2.0,0
20130430.0,1029.0,0.01,98.42,19.36,4.94,0.3602,3.0,0
20071023.0,1037.0,19.28,99.25,19.69,5.93,0.0444,2.0,1
20040309.0,1051.0,0.01,99.87,9.57,6.24,0.5967,1.0,0
20070911.0,1009.0,9.89,99.12,24.97,2.27,0.4062,1.0,1
20111227.0,1133.0,18.93,98.77,6.41,3.95,0.1868,2.0,0
20020514.0,1053.0,0.0,101.05,19.24,1.28,0.2449,1.0,1
20000418.0,1075.0,0.01,100.35,14.95,2.58,0.4507,1.0,0
20121127.0,1125.0,7.02,101.04,8.89,2.26,0.1605,1.0,0
20090224.0,1043.0,0.49,99.94,2.58,4.12,0.3756,3.0,0
